# .test .cputime .temperature .time_mat1 .time_mat2
150 0.152170  3.409 0.000716 0.000899
151 0.152925  2.922 0.000698 0.000880
152 0.155115  3.409 0.000733 0.000890
153 0.156808  3.409 0.000755 0.000903
154 0.155638  3.896 0.000792 0.000913
155 0.157482  3.896 0.000734 0.000924
156 0.158828  3.409 0.000771 0.000939
157 0.159021  4.383 0.000754 0.000996
158 0.160116  2.922 0.000791 0.000960
159 0.161226  3.896 0.000775 0.001005
160 0.161623  4.383 0.000852 0.000987
161 0.162572  3.896 0.000823 0.001035
162 0.163805  3.409 0.000822 0.001056
163 0.167377  3.409 0.000830 0.001090
164 0.166434  4.870 0.000888 0.001049
165 0.165818  3.409 0.000850 0.001118
166 0.168512  3.409 0.000913 0.001063
167 0.169412  2.922 0.000918 0.001077
168 0.169707  3.409 0.000939 0.001145
169 0.171041  3.896 0.000932 0.001179
170 0.171686  3.896 0.000910 0.001157
171 0.173596  4.383 0.000913 0.001245
172 0.173009  3.896 0.000924 0.001211
173 0.174906  3.896 0.000985 0.001244
174 0.176942  3.409 0.000945 0.001178
175 0.179151  3.409 0.001003 0.001189
176 0.179771  4.870 0.000964 0.001280
177 0.182664  4.383 0.001024 0.001241
178 0.180871  3.896 0.000989 0.001306
179 0.182274  4.383 0.001047 0.001247
180 0.184082  3.896 0.001010 0.001387
181 0.196819  4.383 0.001037 0.001597
182 0.187016  3.409 0.001073 0.001291
183 0.185490  4.383 0.001049 0.001307
184 0.187278  3.409 0.001051 0.001363
185 0.190039  5.357 0.001129 0.001397
186 0.191548  5.357 0.001063 0.001407
187 0.189574  4.383 0.001100 0.001533
188 0.195489  4.383 0.001084 0.001384
189 0.190880  4.383 0.001167 0.001496
190 0.192135  3.896 0.001108 0.001450
191 0.196210  4.870 0.001147 0.001435
192 0.194058  4.870 0.001132 0.001512
193 0.194533  4.383 0.001215 0.001505
194 0.197710  5.357 0.001245 0.001479
195 0.197490  4.383 0.001284 0.001507
196 0.199718  3.896 0.001182 0.001668
197 0.199025  4.870 0.001238 0.001567
198 0.199943  4.383 0.001241 0.001639
199 0.204984  4.870 0.001305 0.001563
200 0.202344  3.896 0.001232 0.001659
201 0.204219  5.357 0.001274 0.001630
202 0.208245  5.357 0.001258 0.001619
203 0.204820  4.383 0.001339 0.001717
204 0.206860  5.357 0.001362 0.001750
205 0.209032  4.383 0.001323 0.001716
206 0.209353  3.896 0.001347 0.001689
207 0.210786  3.896 0.001395 0.001744
208 0.211648  4.870 0.001336 0.001848
209 0.212014  4.383 0.001405 0.001836
210 0.216124  3.896 0.001359 0.001836
211 0.213394  4.383 0.001433 0.001852
212 0.215832  3.896 0.001401 0.001874
213 0.218581  4.870 0.001464 0.001891
214 0.217446  5.357 0.001427 0.001964
215 0.218195  3.896 0.001500 0.001884
216 0.220151  3.896 0.001453 0.002052
217 0.220390  3.896 0.001522 0.001896
218 0.221877  4.870 0.001479 0.002006
219 0.222788  5.357 0.001555 0.001943
220 0.224192  4.870 0.001556 0.001991
221 0.224940  3.896 0.001612 0.002000
222 0.225971  3.409 0.001585 0.002220
223 0.229448  4.870 0.001605 0.002141
224 0.229853  4.870 0.001578 0.002164
225 0.227755  5.844 0.001618 0.002211
226 0.231200  3.896 0.001674 0.002086
227 0.231417  5.357 0.001714 0.002109
228 0.233038  5.357 0.001625 0.002266
229 0.232989  4.870 0.001674 0.002244
230 0.233903  5.357 0.001693 0.002182
231 0.235044  5.844 0.001720 0.002237
232 0.236494  4.870 0.001728 0.002411
233 0.236356  4.383 0.001737 0.002321
234 0.240993  4.870 0.001722 0.002336
235 0.239313  5.844 0.001751 0.002376
236 0.240696  4.870 0.001811 0.002318
237 0.242392  5.357 0.001741 0.002403
238 0.241219  5.357 0.001872 0.002376
239 0.243903  4.870 0.001767 0.002522
240 0.247203  4.870 0.001857 0.002461
241 0.245054  4.383 0.001840 0.002637
242 0.244974  4.870 0.001934 0.002538
243 0.246084  4.870 0.001887 0.002561
244 0.248934  4.870 0.001879 0.002782
245 0.251510  4.383 0.001861 0.002645
246 0.248910  5.357 0.001972 0.002749
247 0.251028  5.844 0.002004 0.002726
248 0.254775  3.896 0.002045 0.002626
249 0.253128  4.870 0.001925 0.002762
250 0.255111  4.870 0.002014 0.002778
251 0.255567  4.870 0.002004 0.002895
252 0.258179  4.870 0.002051 0.002851
253 0.256395  4.383 0.001994 0.002953
254 0.259589  4.870 0.002107 0.002964
255 0.272241  4.870 0.002022 0.003051
256 0.262222  5.357 0.002124 0.003054
257 0.272546  4.870 0.002155 0.003023
258 0.262440  4.870 0.002169 0.002926
259 0.267626  5.844 0.002161 0.002997
260 0.263786  4.870 0.002145 0.003169
261 0.265116  4.383 0.002190 0.003182
262 0.266901  4.383 0.002230 0.003190
263 0.268454  5.844 0.002262 0.003249
264 0.267289  5.357 0.002272 0.003315
265 0.269533  6.331 0.002275 0.003209
266 0.270468  5.357 0.002457 0.003456
267 0.271176  4.870 0.002302 0.003397
268 0.271677  4.870 0.002367 0.003332
269 0.274959  5.357 0.002393 0.003271
270 0.276361  5.357 0.002327 0.003500
271 0.275480  4.383 0.002441 0.003435
272 0.276815  5.357 0.002488 0.003367
273 0.279108  5.357 0.002424 0.003567
274 0.279043  4.870 0.002422 0.003573
275 0.280151  5.357 0.002455 0.003543
276 0.281288  5.844 0.002507 0.003567
277 0.283917  4.870 0.002444 0.003587
278 0.283419  4.870 0.002514 0.003676
279 0.283706  6.331 0.002525 0.003590
280 0.286172  4.870 0.002561 0.003612
281 0.287322  5.357 0.002616 0.003667
282 0.287133  4.870 0.002568 0.003724
283 0.289060  5.844 0.002590 0.003798
284 0.291044  4.870 0.002673 0.003868
285 0.289981  5.357 0.002687 0.003987
286 0.291238  4.870 0.002625 0.003862
287 0.293812  4.383 0.002744 0.003894
288 0.292909  4.383 0.002685 0.003993
289 0.293562  5.844 0.002780 0.004374
290 0.295553  5.357 0.002756 0.004053
291 0.297307  5.357 0.002813 0.004017
292 0.297695  5.357 0.002742 0.004048
293 0.306865  6.331 0.002798 0.004260
294 0.300331  5.844 0.002767 0.004436
295 0.300007  4.870 0.002875 0.004315
296 0.300867  5.357 0.002862 0.004330
297 0.304076  5.357 0.002909 0.004387
298 0.304792  5.844 0.002860 0.004443
299 0.303382  5.357 0.002973 0.004297
300 0.306087  6.331 0.002878 0.004340
301 0.307466  6.331 0.002965 0.004414
302 0.307685  5.357 0.002990 0.004607
303 0.308923  5.844 0.002999 0.004572
304 0.309654  5.844 0.003023 0.004517
305 0.313191  6.331 0.003091 0.004726
306 0.311994  5.844 0.003070 0.004532
307 0.312964  5.357 0.003057 0.004579
308 0.314821  6.818 0.003100 0.004884
309 0.315096  6.331 0.003118 0.004783
310 0.316371  5.357 0.003144 0.004876
311 0.317179  6.331 0.003142 0.004780
312 0.318952  5.357 0.003173 0.004846
313 0.320062  6.818 0.003177 0.004848
314 0.319296  5.844 0.003219 0.005062
315 0.321785  6.331 0.003263 0.004944
316 0.324947  5.844 0.003296 0.005103
317 0.322923  6.331 0.003270 0.004940
318 0.324897  5.844 0.003321 0.004956
319 0.327988  7.305 0.003333 0.005008
